date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper,calculated_cfr,cfr_difference,calculated_prop_sev,year,month,month_name,quarter,year_month,period,cfr_valid,epidemiological_consistency,prop_sev_difference,confirmation_rate,severe_case_rate,mortality_rate,cases_yoy_change,cases_3m_avg,high_burden_flag
2024-01-01,2024-01-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,260.0,,,0.0,0.0,,0.0,0.01408782258025221,,,0.0,0.0,,2024,1,January,1,2024-01,2023-2024,True,False,,,,0.0,,260.0,0
2024-02-01,2024-02-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,196.0,,,0.0,0.0,,0.0,0.0186448079493301,,,0.0,0.0,,2024,2,February,1,2024-02,2023-2024,True,False,,,,0.0,,228.0,0
2024-03-01,2024-03-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,157.0,,,0.0,0.0,,0.0,0.02322216460332516,,,0.0,0.0,,2024,3,March,1,2024-03,2023-2024,True,False,,,,0.0,,204.33,0
2024-04-01,2024-04-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,89.0,,,0.0,0.0,,0.0,0.04060085754963183,,,0.0,0.0,,2024,4,April,2,2024-04,2023-2024,True,False,,,,0.0,,147.33,0
2024-05-01,2024-05-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,241.0,,,0.0,0.0,,0.0,0.01519000387436253,,,0.0,0.0,,2024,5,May,2,2024-05,2023-2024,True,False,,,,0.0,,162.33,0
2024-06-01,2024-06-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,145.0,,,0.0,0.0,,0.0,0.02511966413180211,,,0.0,0.0,,2024,6,June,2,2024-06,2023-2024,True,False,,,,0.0,,158.33,0
2024-07-01,2024-07-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,395.0,,,0.0,0.0,,0.0,0.009295462904318486,,,0.0,0.0,,2024,7,July,3,2024-07,2023-2024,True,False,,,,0.0,,260.33,0
2024-08-01,2024-08-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,437.0,,,0.0,0.0,,0.0,0.008405843409634906,,,0.0,0.0,,2024,8,August,3,2024-08,2023-2024,True,False,,,,0.0,,325.67,0
2024-09-01,2024-09-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,450.0,,,0.0,0.0,,0.0,0.008164001936894372,,,0.0,0.0,,2024,9,September,3,2024-09,2023-2024,True,False,,,,0.0,,427.33,0
2024-10-01,2024-10-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,1197.0,,,2.0,0.001670843776106934,,0.0002024110218609034,0.006022504279897774,,,0.17,-0.16832915622389308,,2024,10,October,4,2024-10,2023-2024,True,False,,,,0.17,,694.67,0
2024-11-01,2024-11-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,837.0,,,0.0,0.0,,0.0,0.004397565652813636,,,0.0,0.0,,2024,11,November,4,2024-11,2023-2024,True,False,,,,0.0,,828.0,0
2024-12-01,2024-12-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,285.0,,,0.0,0.0,,0.0,0.01286003064593089,,,0.0,0.0,,2024,12,December,4,2024-12,2023-2024,True,False,,,,0.0,,773.0,0
2025-01-01,2025-01-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,71.0,,,0.0,0.0,,0.0,0.05062940795440374,,,0.0,0.0,,2025,1,January,1,2025-01,2025+,True,False,,,,0.0,-72.69,397.67,0
2025-02-01,2025-02-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,26.0,,,0.0,0.0,,0.0,0.1322746044977541,,,0.0,0.0,,2025,2,February,1,2025-02,2025+,True,False,,,,0.0,-86.73,127.33,0
2025-03-01,2025-03-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,18.0,,,0.0,0.0,,0.0,0.1853019681378523,,,0.0,0.0,,2025,3,March,1,2025-03,2025+,True,False,,,,0.0,-88.54,38.33,0
2025-04-01,2025-04-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,131.0,,,0.0,0.0,,0.0,0.02776660511003648,,,0.0,0.0,,2025,4,April,2,2025-04,2025+,True,False,,,,0.0,47.19,58.33,0
2025-05-01,2025-05-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,216.0,,,0.0,0.0,,0.0,0.01693314073693564,,,0.0,0.0,,2025,5,May,2,2025-05,2025+,True,False,,,,0.0,-10.37,121.67,0
2025-06-01,2025-06-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,166.0,,,0.0,0.0,,0.0,0.02197707192849607,,,0.0,0.0,,2025,6,June,2,2025-06,2025+,True,False,,,,0.0,14.48,171.0,0
2025-07-01,2025-07-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,339.0,,,0.0,0.0,,0.0,0.01082265931741544,,,0.0,0.0,,2025,7,July,3,2025-07,2025+,True,False,,,,0.0,-14.18,240.33,0
2025-08-01,2025-08-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,273.0,,,0.0,0.0,,0.0,0.01342149656658442,,,0.0,0.0,,2025,8,August,3,2025-08,2025+,True,False,,,,0.0,-37.53,259.33,0
2025-09-01,2025-09-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,297.0,,,0.0,0.0,,0.0,0.01234365386845615,,,0.0,0.0,,2025,9,September,3,2025-09,2025+,True,False,,,,0.0,-34.0,303.0,0
2025-10-01,2025-10-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,1826.0,,,0.0,0.0,,0.0,0.002018157629073074,,,0.0,0.0,,2025,10,October,4,2025-10,2025+,True,False,,,,0.0,52.55,798.67,0
2025-11-01,2025-11-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,1021.0,,,0.0,0.0,,0.0,0.003606487267517015,,,0.0,0.0,,2025,11,November,4,2025-11,2025+,True,False,,,,0.0,21.98,1048.0,0
2026-01-01,2026-01-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,128.0,1.0,,0.0,0.0,,0.0,0.02840805344354391,,,0.0,0.0,,2026,1,January,1,2026-01,2025+,True,False,,0.78,,0.0,-55.09,991.67,0
2026-02-01,2026-02-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,173.0,0.0,,0.0,0.0,,0.0,0.02109727465068489,,,0.0,0.0,,2026,2,February,1,2026-02,2025+,True,False,,0.0,,0.0,143.66,440.67,0
2026-03-01,2026-03-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,152.0,0.0,,0.0,0.0,,0.0,0.02397682090379161,,,0.0,0.0,,2026,3,March,1,2026-03,2025+,True,False,,0.0,,0.0,484.62,151.0,0
2026-04-01,2026-04-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,246.0,1.0,,0.0,0.0,,0.0,0.01488357313821653,,,0.0,0.0,,2026,4,April,2,2026-04,2025+,True,False,,0.41,,0.0,1266.67,190.33,0
2026-05-01,2026-05-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,224.0,0.0,,0.0,0.0,,0.0,0.01633335216210563,,,0.0,0.0,,2026,5,May,2,2026-05,2025+,True,False,,0.0,,0.0,70.99,207.33,0
2026-06-01,2026-06-01,EMR,Eastern Mediterranean Region,Afghanistan,AFG,255.0,,,0.0,0.0,,0.0,0.01436206129326989,,,0.0,0.0,,2026,6,June,2,2026-06,2025+,True,False,,,,0.0,18.06,241.67,0
2024-01-01,2024-01-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,1,January,1,2024-01,2023-2024,False,False,,,,,,0.0,0
2024-02-01,2024-02-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,2,February,1,2024-02,2023-2024,False,False,,,,,,0.0,0
2024-03-01,2024-03-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,3,March,1,2024-03,2023-2024,False,False,,,,,,0.0,0
2024-04-01,2024-04-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,4,April,2,2024-04,2023-2024,False,False,,,,,,0.0,0
2024-05-01,2024-05-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,5,May,2,2024-05,2023-2024,False,False,,,,,,0.0,0
2024-06-01,2024-06-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,6,June,2,2024-06,2023-2024,False,False,,,,,,0.0,0
2024-07-01,2024-07-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,7,July,3,2024-07,2023-2024,False,False,,,,,,0.0,0
2024-08-01,2024-08-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,8,August,3,2024-08,2023-2024,False,False,,,,,,0.0,0
2024-09-01,2024-09-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,9,September,3,2024-09,2023-2024,False,False,,,,,,0.0,0
2024-10-01,2024-10-01,EUR,European Region,Albania,ALB,0.0,,,0.0,,,0.0,1.0,,,,,,2024,10,October,4,2024-10,2023-2024,False,False,,,,,,0.0,0
2024-11-01,2024-11-01,EUR,European Region,Albania,ALB,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,11,November,4,2024-11,2023-2024,False,True,,,,,,0.0,0
2024-12-01,2024-12-01,EUR,European Region,Albania,ALB,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,12,December,4,2024-12,2023-2024,False,True,,,,,,0.0,0
2025-01-01,2025-01-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,1,January,1,2025-01,2025+,False,False,,,,,,0.0,0
2025-02-01,2025-02-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,2,February,1,2025-02,2025+,False,False,,,,,,0.0,0
2025-03-01,2025-03-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,3,March,1,2025-03,2025+,False,False,,,,,,0.0,0
2025-04-01,2025-04-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,4,April,2,2025-04,2025+,False,False,,,,,,0.0,0
2025-05-01,2025-05-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,5,May,2,2025-05,2025+,False,False,,,,,,0.0,0
2025-06-01,2025-06-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,6,June,2,2025-06,2025+,False,False,,,,,,0.0,0
2025-07-01,2025-07-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,7,July,3,2025-07,2025+,False,False,,,,,,0.0,0
2025-08-01,2025-08-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,8,August,3,2025-08,2025+,False,False,,,,,,0.0,0
2025-09-01,2025-09-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,9,September,3,2025-09,2025+,False,False,,,,,,0.0,0
2025-10-01,2025-10-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,10,October,4,2025-10,2025+,False,False,,,,,,0.0,0
2025-11-01,2025-11-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,11,November,4,2025-11,2025+,False,False,,,,,,0.0,0
2025-12-01,2025-12-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,12,December,4,2025-12,2025+,False,False,,,,,,0.0,0
2026-01-01,2026-01-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,1,January,1,2026-01,2025+,False,False,,,,,,0.0,0
2026-02-01,2026-02-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,2,February,1,2026-02,2025+,False,False,,,,,,0.0,0
2026-03-01,2026-03-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,3,March,1,2026-03,2025+,False,False,,,,,,0.0,0
2026-04-01,2026-04-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,4,April,2,2026-04,2025+,False,False,,,,,,0.0,0
2026-05-01,2026-05-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,5,May,2,2026-05,2025+,False,False,,,,,,0.0,0
2026-06-01,2026-06-01,EUR,European Region,Albania,ALB,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,6,June,2,2026-06,2025+,False,False,,,,,,0.0,0
2024-01-01,2024-01-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,1,January,1,2024-01,2023-2024,False,False,,,,,,0.0,0
2024-02-01,2024-02-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,2,February,1,2024-02,2023-2024,False,False,,,,,,0.0,0
2024-03-01,2024-03-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,3,March,1,2024-03,2023-2024,False,False,,,,,,0.0,0
2024-04-01,2024-04-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,4,April,2,2024-04,2023-2024,False,False,,,,,,0.0,0
2024-05-01,2024-05-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,5,May,2,2024-05,2023-2024,False,False,,,,,,0.0,0
2024-06-01,2024-06-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,6,June,2,2024-06,2023-2024,False,False,,,,,,0.0,0
2024-07-01,2024-07-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,7,July,3,2024-07,2023-2024,False,False,,,,,,0.0,0
2024-08-01,2024-08-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,8,August,3,2024-08,2023-2024,False,False,,,,,,0.0,0
2024-09-01,2024-09-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,9,September,3,2024-09,2023-2024,False,False,,,,,,0.0,0
2024-10-01,2024-10-01,EUR,European Region,Andorra,AND,0.0,,,0.0,,,0.0,1.0,,,,,,2024,10,October,4,2024-10,2023-2024,False,False,,,,,,0.0,0
2024-11-01,2024-11-01,EUR,European Region,Andorra,AND,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,11,November,4,2024-11,2023-2024,False,True,,,,,,0.0,0
2024-12-01,2024-12-01,EUR,European Region,Andorra,AND,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,12,December,4,2024-12,2023-2024,False,True,,,,,,0.0,0
2025-01-01,2025-01-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,1,January,1,2025-01,2025+,False,False,,,,,,0.0,0
2025-02-01,2025-02-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,2,February,1,2025-02,2025+,False,False,,,,,,0.0,0
2025-03-01,2025-03-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,3,March,1,2025-03,2025+,False,False,,,,,,0.0,0
2025-04-01,2025-04-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,4,April,2,2025-04,2025+,False,False,,,,,,0.0,0
2025-05-01,2025-05-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,5,May,2,2025-05,2025+,False,False,,,,,,0.0,0
2025-06-01,2025-06-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,6,June,2,2025-06,2025+,False,False,,,,,,0.0,0
2025-07-01,2025-07-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,7,July,3,2025-07,2025+,False,False,,,,,,0.0,0
2025-08-01,2025-08-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,8,August,3,2025-08,2025+,False,False,,,,,,0.0,0
2025-09-01,2025-09-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,9,September,3,2025-09,2025+,False,False,,,,,,0.0,0
2025-10-01,2025-10-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,10,October,4,2025-10,2025+,False,False,,,,,,0.0,0
2025-11-01,2025-11-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,11,November,4,2025-11,2025+,False,False,,,,,,0.0,0
2025-12-01,2025-12-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2025,12,December,4,2025-12,2025+,False,False,,,,,,0.0,0
2026-01-01,2026-01-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,1,January,1,2026-01,2025+,False,False,,,,,,0.0,0
2026-02-01,2026-02-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,2,February,1,2026-02,2025+,False,False,,,,,,0.0,0
2026-03-01,2026-03-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,3,March,1,2026-03,2025+,False,False,,,,,,0.0,0
2026-04-01,2026-04-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,4,April,2,2026-04,2025+,False,False,,,,,,0.0,0
2026-05-01,2026-05-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,5,May,2,2026-05,2025+,False,False,,,,,,0.0,0
2026-06-01,2026-06-01,EUR,European Region,Andorra,AND,0.0,0.0,,0.0,,,0.0,1.0,,,,,,2026,6,June,2,2026-06,2025+,False,False,,,,,,0.0,0
2024-01-01,2024-01-01,AFR,African Region,Angola,AGO,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,1,January,1,2024-01,2023-2024,False,True,,,,,,0.0,0
2024-02-01,2024-02-01,AFR,African Region,Angola,AGO,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,2,February,1,2024-02,2023-2024,False,True,,,,,,0.0,0
2024-03-01,2024-03-01,AFR,African Region,Angola,AGO,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,3,March,1,2024-03,2023-2024,False,True,,,,,,0.0,0
2024-04-01,2024-04-01,AFR,African Region,Angola,AGO,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,4,April,2,2024-04,2023-2024,False,True,,,,,,0.0,0
2024-05-01,2024-05-01,AFR,African Region,Angola,AGO,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592581264399004,0.0,0.4592581264399004,0.0,0.0,0.0,2024,5,May,2,2024-05,2023-2024,True,True,0.0,0.0,0.0,0.0,,2.0,0
2024-06-01,2024-06-01,AFR,African Region,Angola,AGO,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2024,6,June,2,2024-06,2023-2024,False,True,,,,,,2.0,0
2024-07-01,2024-07-01,AFR,African Region,Angola,AGO,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646484693970511,0.0,0.2646484693970511,0.0,0.0,0.0,2024,7,July,3,2024-07,2023-2024,True,True,0.0,0.0,0.0,0.0,,6.0,0
2024-08-01,2024-08-01,AFR,African Region,Angola,AGO,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672345463063011,0.0,0.0672345463063011,0.0,0.0,0.0,2024,8,August,3,2024-08,2023-2024,True,True,0.0,0.0,0.0,0.0,,21.67,0
2024-09-01,2024-09-01,AFR,African Region,Angola,AGO,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4096163972250034,0.0,0.4096163972250034,0.0,0.0,0.0,2024,9,September,3,2024-09,2023-2024,True,True,0.0,0.0,0.0,0.0,,24.0,0
2024-10-01,2024-10-01,AFR,African Region,Angola,AGO,3.0,,,1.0,0.3333333333333333,,0.008403758659612641,0.9057006759497539,,,33.33,-32.99666666666666,,2024,10,October,4,2024-10,2023-2024,True,False,,,,33.33,,21.0,0
2024-11-01,2024-11-01,AFR,African Region,Angola,AGO,2.0,,,0.0,0.0,,0.0,0.841886116991581,,,0.0,0.0,,2024,11,November,4,2024-11,2023-2024,True,False,,,,0.0,,4.0,0
2024-12-01,2024-12-01,AFR,African Region,Angola,AGO,3.0,,,0.0,0.0,,0.0,0.7075982261787133,,,0.0,0.0,,2024,12,December,4,2024-12,2023-2024,True,False,,,,0.0,,2.67,0
2025-02-01,2025-02-01,AFR,African Region,Angola,AGO,60.0,,,0.0,0.0,,0.0,0.05962949228616687,,,0.0,0.0,,2025,2,February,1,2025-02,2025+,True,False,,,,0.0,inf,21.67,0
2025-07-01,2025-07-01,AFR,African Region,Angola,AGO,34.0,,,0.0,0.0,,0.0,0.1028179242590126,,,0.0,0.0,,2025,7,July,3,2025-07,2025+,True,False,,,,0.0,inf,32.33,0
2025-08-01,2025-08-01,AFR,African Region,Angola,AGO,58.0,,,0.0,0.0,,0.0,0.06162100890391986,,,0.0,0.0,,2025,8,August,3,2025-08,2025+,True,False,,,,0.0,inf,50.67,0
2025-09-01,2025-09-01,AFR,African Region,Angola,AGO,15.0,,,0.0,0.0,,0.0,0.218019360910534,,,0.0,0.0,,2025,9,September,3,2025-09,2025+,True,False,,,,0.0,inf,35.67,0
2025-10-01,2025-10-01,AFR,African Region,Angola,AGO,43.0,,,0.0,0.0,,0.0,0.08221112115413853,,,0.0,0.0,,2025,10,October,4,2025-10,2025+,True,False,,,,0.0,616.67,38.67,0
2025-11-01,2025-11-01,AFR,African Region,Angola,AGO,7.0,,,0.0,0.0,,0.0,0.4096163972250034,,,0.0,0.0,,2025,11,November,4,2025-11,2025+,True,False,,,,0.0,inf,21.67,0
2025-12-01,2025-12-01,AFR,African Region,Angola,AGO,17.0,,,0.0,0.0,,0.0,0.1950643229690932,,,0.0,0.0,,2025,12,December,4,2025-12,2025+,True,False,,,,0.0,41.67,22.33,0
2026-01-01,2026-01-01,AFR,African Region,Angola,AGO,0.0,,,0.0,,,0.0,1.0,,,,,,2026,1,January,1,2026-01,2025+,False,False,,,,,-100.0,8.0,0
2026-02-01,2026-02-01,AFR,African Region,Angola,AGO,26.0,,,0.0,0.0,,0.0,0.1322746044977541,,,0.0,0.0,,2026,2,February,1,2026-02,2025+,True,False,,,,0.0,271.43,14.33,0
2026-03-01,2026-03-01,AFR,African Region,Angola,AGO,39.0,,,0.0,0.0,,0.0,0.09025110096033429,,,0.0,0.0,,2026,3,March,1,2026-03,2025+,True,False,,,,0.0,1200.0,21.67,0
2026-04-01,2026-04-01,AFR,African Region,Angola,AGO,0.0,,,0.0,,,0.0,1.0,,,,,,2026,4,April,2,2026-04,2025+,False,False,,,,,-100.0,21.67,0
2026-05-01,2026-05-01,AFR,African Region,Angola,AGO,43.0,,,0.0,0.0,,0.0,0.08221112115413853,,,0.0,0.0,,2026,5,May,2,2026-05,2025+,True,False,,,,0.0,1333.33,27.33,0
2026-06-01,2026-06-01,AFR,African Region,Angola,AGO,50.0,0.0,,0.0,0.0,,0.0,0.07112173646419762,,,0.0,0.0,,2026,6,June,2,2026-06,2025+,True,False,,0.0,,0.0,-16.67,31.0,0
2014-01-01,2014-01-01,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,,,,,2014,1,January,1,2014-01,Pre-2020,False,False,,,,,,,0
2014-02-01,2014-02-01,AMR,Region of the Americas,Anguilla,AIA,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4096163972250034,0.0,0.4096163972250034,0.0,0.0,0.0,2014,2,February,1,2014-02,Pre-2020,True,True,0.0,28.57,0.0,0.0,,7.0,0
2014-03-01,2014-03-01,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,,,,,2014,3,March,1,2014-03,Pre-2020,False,False,,,,,,7.0,0
2014-04-01,2014-04-01,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,,,,,2014,4,April,2,2014-04,Pre-2020,False,False,,,,,,7.0,0
2014-05-01,2014-05-01,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,,,,,2014,5,May,2,2014-05,Pre-2020,False,False,,,,,,,0
2014-06-01,2014-06-01,AMR,Region of the Americas,Anguilla,AIA,67.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0535696541270968,0.0,0.0535696541270968,0.0,0.0,0.0,2014,6,June,2,2014-06,Pre-2020,True,True,0.0,7.46,0.0,0.0,,67.0,0
2014-07-01,2014-07-01,AMR,Region of the Americas,Anguilla,AIA,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2014,7,July,3,2014-07,Pre-2020,False,True,,,,,,33.5,0
2014-08-01,2014-08-01,AMR,Region of the Americas,Anguilla,AIA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.975,0.0,0.0,0.0,2014,8,August,3,2014-08,Pre-2020,True,True,0.0,100.0,0.0,0.0,,22.67,0
2014-09-01,2014-09-01,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,,,,,2014,9,September,3,2014-09,Pre-2020,False,False,,,,,,0.5,0
2014-10-01,2014-10-01,AMR,Region of the Americas,Anguilla,AIA,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084971078187608,0.0,0.3084971078187608,0.0,0.0,0.0,2014,10,October,4,2014-10,Pre-2020,True,True,0.0,0.0,0.0,0.0,,5.5,0
2014-11-01,2014-11-01,AMR,Region of the Americas,Anguilla,AIA,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2014,11,November,4,2014-11,Pre-2020,False,True,,,,,,5.0,0
2014-12-01,2014-12-01,AMR,Region of the Americas,Anguilla,AIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.975,0.0,0.0,0.0,2014,12,December,4,2014-12,Pre-2020,True,True,0.0,0.0,0.0,0.0,,3.67,0
2015-01-01,2015-01-01,AMR,Region of the Americas,Anguilla,AIA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7075982261787133,0.0,0.7075982261787133,0.0,0.0,0.0,2015,1,January,1,2015-01,Pre-2020,True,True,0.0,0.0,0.0,0.0,,1.33,0
2015-05-01,2015-05-01,AMR,Region of the Americas,Anguilla,AIA,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5218237501049814,0.0,0.5218237501049814,0.0,0.0,0.0,2015,5,May,2,2015-05,Pre-2020,True,True,0.0,40.0,0.0,0.0,-28.57,3.0,0
2015-07-01,2015-07-01,AMR,Region of the Americas,Anguilla,AIA,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2015,7,July,3,2015-07,Pre-2020,False,True,,,,,-100.0,2.67,0
2015-12-01,2015-12-01,AMR,Region of the Americas,Anguilla,AIA,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2015,12,December,4,2015-12,Pre-2020,False,True,,,,,-100.0,1.67,0
2016-01-01,2016-01-01,AMR,Region of the Americas,Anguilla,AIA,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,,,2016,1,January,1,2016-01,Pre-2020,False,True,,,,,-100.0,0.0,0
